Driver,Team,Event,Year,LapTimeSeconds,TyreCompound,TyreAge,AirTemp,TrackTemp,TrackLength,RaceDistance,NumLaps,LapNumber,TopSpeed,AvgCornerSpeed,AvgCornerEntrySpeed,AvgCornerExitSpeed,AvgStraightSpeed,AvgStraightEntrySpeed,AvgStraightExitSpeed,ThrottleMean,ThrottleStdDev,BrakeMean,BrakeStdDev,DRSMean
RUS,Mercedes,Australian Grand Prix,2025,94.873,INTERMEDIATE,9.0,15.9,19.1,5.303,307.574,58,9.0,308.0,140.76216216216216,169.0,169.4,258.16759776536315,287.2,276.4,60.65934065934066,42.264996303226276,0.23076923076923078,0.42190498262932463,1.0
RUS,Mercedes,Australian Grand Prix,2025,93.587,INTERMEDIATE,10.0,15.9,19.1,5.303,307.574,58,10.0,304.0,145.4659090909091,155.2,171.4,260.8837209302326,287.2,278.4,65.36206896551724,40.58152144435625,0.1896551724137931,0.3925926481475539,1.0
RUS,Mercedes,Australian Grand Prix,2025,93.347,INTERMEDIATE,11.0,16.0,19.1,5.303,307.574,58,11.0,305.0,145.73863636363637,162.8,176.8,262.311377245509,290.2,279.0,64.51895043731778,40.85953784385386,0.18075801749271136,0.38537975087485105,1.0
RUS,Mercedes,Australian Grand Prix,2025,92.803,INTERMEDIATE,12.0,15.9,19.3,5.303,307.574,58,12.0,306.0,142.5174418604651,166.4,167.6,259.9060773480663,289.2,280.2,64.09631728045326,41.19964989137377,0.18696883852691218,0.39043993491471124,0.17280453257790368
RUS,Mercedes,Australian Grand Prix,2025,92.364,INTERMEDIATE,13.0,16.0,19.3,5.303,307.574,58,13.0,305.0,145.45294117647057,156.4,180.8,261.1777777777778,290.6,281.2,65.00571428571429,41.10242948261964,0.19142857142857142,0.39398880656319885,0.0
RUS,Mercedes,Australian Grand Prix,2025,91.856,INTERMEDIATE,14.0,16.0,19.3,5.303,307.574,58,14.0,306.0,146.75151515151515,160.6,180.2,261.0,290.6,281.2,64.375,41.521105943916886,0.19940476190476192,0.40014878185375957,0.0
RUS,Mercedes,Australian Grand Prix,2025,91.885,INTERMEDIATE,15.0,16.0,19.3,5.303,307.574,58,15.0,305.0,146.5379746835443,164.8,182.2,260.9318181818182,289.4,278.8,66.437125748503,40.888781240745104,0.18562874251497005,0.38939013671482026,0.0
RUS,Mercedes,Australian Grand Prix,2025,91.739,INTERMEDIATE,16.0,16.0,19.3,5.303,307.574,58,16.0,306.0,145.88622754491018,162.0,174.2,261.6,290.8,280.8,65.48961424332344,40.13386134349453,0.18100890207715134,0.38559808589915046,0.0
RUS,Mercedes,Australian Grand Prix,2025,91.597,INTERMEDIATE,17.0,16.0,19.4,5.303,307.574,58,17.0,306.0,146.14201183431953,162.2,182.4,261.27322404371586,290.8,281.2,66.29829545454545,40.23625666438915,0.18181818181818182,0.38624363966821407,0.0
RUS,Mercedes,Australian Grand Prix,2025,91.74,INTERMEDIATE,18.0,16.0,19.4,5.303,307.574,58,18.0,306.0,144.93589743589743,175.2,177.2,260.23333333333335,292.0,282.2,65.09821428571429,41.14930074771121,0.20238095238095238,0.4023739080814783,0.0
RUS,Mercedes,Australian Grand Prix,2025,92.189,INTERMEDIATE,19.0,16.0,19.4,5.303,307.574,58,19.0,306.0,142.46428571428572,166.4,177.0,260.24581005586595,289.6,281.6,63.92219020172911,41.2682224292783,0.18155619596541786,0.3860349787012353,0.0
RUS,Mercedes,Australian Grand Prix,2025,91.315,INTERMEDIATE,20.0,16.0,19.4,5.303,307.574,58,20.0,306.0,144.51234567901236,161.2,177.2,260.5444444444444,288.6,281.6,65.52631578947368,40.97747264525539,0.17543859649122806,0.3808990915182551,0.0
RUS,Mercedes,Australian Grand Prix,2025,91.127,INTERMEDIATE,21.0,16.0,19.2,5.303,307.574,58,21.0,306.0,144.21333333333334,159.0,174.8,261.63775510204084,292.0,283.4,66.75722543352602,40.41608256932482,0.1791907514450867,0.3840673756200409,0.0
RUS,Mercedes,Australian Grand Prix,2025,91.029,INTERMEDIATE,22.0,15.9,19.2,5.303,307.574,58,22.0,306.0,144.35526315789474,158.6,172.6,264.0628571428571,289.6,283.0,67.44648318042813,40.288256347938805,0.17737003058103976,0.38256696044193134,0.0
RUS,Mercedes,Australian Grand Prix,2025,90.975,INTERMEDIATE,23.0,15.9,19.2,5.303,307.574,58,23.0,308.0,145.6815286624204,164.0,179.8,261.0,292.6,283.6,65.4188790560472,41.313225498702366,0.19469026548672566,0.39654738659610594,0.0
RUS,Mercedes,Australian Grand Prix,2025,90.673,INTERMEDIATE,24.0,15.8,19.2,5.303,307.574,58,24.0,306.0,142.78523489932886,168.6,172.0,261.0752688172043,291.4,285.4,66.48059701492538,40.339711043432814,0.16417910447761194,0.3709921527557979,0.0
RUS,Mercedes,Australian Grand Prix,2025,90.488,INTERMEDIATE,25.0,15.7,19.2,5.303,307.574,58,25.0,308.0,145.7843137254902,162.8,179.2,260.20765027322403,294.0,284.4,65.42261904761905,40.52447162251832,0.18452380952380953,0.3884893198920922,0.0
RUS,Mercedes,Australian Grand Prix,2025,90.111,INTERMEDIATE,26.0,15.7,19.2,5.303,307.574,58,26.0,307.0,142.3397435897436,154.0,180.4,257.74594594594595,294.8,285.6,65.44574780058652,40.987381355668866,0.19941348973607037,0.4001466007012754,0.0
RUS,Mercedes,Australian Grand Prix,2025,89.863,INTERMEDIATE,27.0,15.7,19.1,5.303,307.574,58,27.0,307.0,143.33802816901408,163.8,173.0,260.95108695652175,294.2,283.8,66.66564417177914,40.737907321908196,0.1656441717791411,0.37233241857213223,0.0
RUS,Mercedes,Australian Grand Prix,2025,89.696,INTERMEDIATE,28.0,15.7,19.1,5.303,307.574,58,28.0,304.0,144.92753623188406,161.6,166.6,262.0153846153846,293.8,287.8,69.05405405405405,40.03639259485196,0.17417417417417416,0.37982993141786137,0.0
RUS,Mercedes,Australian Grand Prix,2025,89.488,INTERMEDIATE,29.0,15.7,19.1,5.303,307.574,58,29.0,305.0,144.2980132450331,162.2,178.6,262.00531914893617,294.4,285.0,66.96755162241888,40.062622691071034,0.16224188790560473,0.36921753247584216,0.0
RUS,Mercedes,Australian Grand Prix,2025,89.789,INTERMEDIATE,30.0,15.7,19.1,5.303,307.574,58,30.0,304.0,143.61184210526315,167.0,184.2,260.70899470899474,291.6,281.8,66.72434017595307,40.832876315124956,0.18181818181818182,0.38626138942763466,0.0
RUS,Mercedes,Australian Grand Prix,2025,89.041,INTERMEDIATE,31.0,15.8,19.1,5.303,307.574,58,31.0,305.0,143.37857142857143,156.2,173.0,258.2371134020619,296.8,285.6,67.50299401197604,40.347644583561575,0.18562874251497005,0.3893901367148202,0.0
RUS,Mercedes,Australian Grand Prix,2025,89.361,INTERMEDIATE,32.0,15.8,19.1,5.303,307.574,58,32.0,304.0,143.07333333333332,159.6,175.8,259.58762886597935,293.0,284.8,67.58720930232558,40.244130503748146,0.17151162790697674,0.37750451874378643,0.0
